Date,RegionID,RegionName,RegionType,StateName,MonthlyTotalCases,MonthlyTotalDeaths,MonthlyAvgCases,MonthlyAvgDeaths
2020-04-30,11,District of Columbia,State,DC,70950,2651,2365.0,88.36666666666666
2020-04-30,10,Delaware,State,DE,67480,1840,2249.3333333333335,61.333333333333336
2020-04-30,12,Florida,State,FL,671158,19495,22371.933333333334,649.8333333333334
2020-04-30,13,Georgia,State,GA,453331,18051,15111.033333333333,601.7
2020-04-30,15,Hawaii,State,HI,14988,274,499.6,9.133333333333333
2020-04-30,19,Iowa,State,IA,83724,1947,2790.8,64.9
2020-04-30,16,Idaho,State,ID,45937,1098,1531.2333333333333,36.6
2020-04-30,17,Illinois,State,IL,802337,32642,26744.566666666666,1088.0666666666666
2020-04-30,18,Indiana,State,IN,292473,16218,9749.1,540.6
2020-04-30,20,Kansas,State,KS,55555,2241,1851.8333333333333,74.7
2020-04-30,21,Kentucky,State,KY,74780,3889,2492.6666666666665,129.63333333333333
2020-04-30,22,Louisiana,State,LA,625639,32872,20854.633333333335,1095.7333333333333
2020-04-30,25,Massachusetts,State,MA,977699,42952,32589.966666666667,1431.7333333333333
2020-04-30,24,Maryland,State,MD,327492,13760,10916.4,458.6666666666667
2020-04-30,23,Maine,State,ME,22358,843,745.2666666666667,28.1
2020-04-30,26,Michigan,State,MI,818293,59519,27276.433333333334,1983.9666666666667
2020-04-30,27,Minnesota,State,MN,65270,3818,2175.6666666666665,127.26666666666667
2020-04-30,29,Missouri,State,MO,144460,5056,4815.333333333333,168.53333333333333
2020-04-30,28,Mississippi,State,MS,109721,3972,3657.366666666667,132.4
2020-04-30,30,Montana,State,MT,11538,280,384.6,9.333333333333334
2020-04-30,37,North Carolina,State,NC,168317,4804,5610.566666666667,160.13333333333333
2020-04-30,38,North Dakota,State,ND,14825,296,494.1666666666667,9.866666666666667
2020-04-30,31,Nebraska,State,NE,44916,866,1497.2,28.866666666666667
2020-04-30,33,New Hampshire,State,NH,36795,1009,1226.5,33.63333333333333
2020-04-30,34,New Jersey,State,NJ,2186635,102708,72887.83333333333,3423.6
2020-04-30,35,New Mexico,State,NM,49429,1472,1647.6333333333334,49.06666666666667
2020-04-30,32,Nevada,State,NV,97660,4029,3255.3333333333335,134.3
2020-04-30,36,New York,State,NY,6328973,425198,210965.76666666666,14173.266666666666
2020-04-30,39,Ohio,State,OH,287164,12517,9572.133333333333,417.23333333333335
2020-04-30,40,Oklahoma,State,OK,67883,3692,2262.766666666667,123.06666666666666
2020-04-30,41,Oregon,State,OR,50484,1829,1682.8,60.96666666666667
2020-04-30,42,Pennsylvania,State,PA,822697,30595,27423.233333333334,1019.8333333333334
2020-04-30,44,Rhode Island,State,RI,119603,3459,3986.766666666667,115.3
2020-04-30,45,South Carolina,State,SC,113247,3284,3774.9,109.46666666666667
2020-04-30,46,South Dakota,State,SD,36231,211,1207.7,7.033333333333333
2020-04-30,47,Tennessee,State,TN,187332,3741,6244.4,124.7
2020-04-30,48,Texas,State,TX,494349,12274,16478.3,409.1333333333333
2020-04-30,49,Utah,State,UT,82277,722,2742.5666666666666,24.066666666666666
2020-04-30,51,Virginia,State,VA,223907,7019,7463.566666666667,233.96666666666667
2020-04-30,50,Vermont,State,VT,21158,958,705.2666666666667,31.933333333333334
2020-04-30,53,Washington,State,WA,327552,16938,10918.4,564.6
2020-04-30,55,Wisconsin,State,WI,119648,5402,3988.266666666667,180.06666666666666
2020-04-30,54,West Virginia,State,WV,21315,515,710.5,17.166666666666668
2020-04-30,56,Wyoming,State,WY,10987,82,366.23333333333335,2.7333333333333334
2020-05-31,2,Alaska,State,AK,12256,243,395.35483870967744,7.838709677419355
2020-05-31,1,Alabama,State,AL,372033,14438,12001.064516129032,465.741935483871
2020-05-31,5,Arkansas,State,AR,150100,3137,4841.935483870968,101.19354838709677
2020-05-31,4,Arizona,State,AZ,417110,19864,13455.161290322581,640.7741935483871
2020-05-31,6,California,State,CA,2476264,99379,79879.48387096774,3205.7741935483873
2020-05-31,8,Colorado,State,CO,660633,35594,21310.74193548387,1148.1935483870968
2020-05-31,9,Connecticut,State,CT,1124193,101014,36264.290322580644,3258.516129032258
2020-05-31,11,District of Columbia,State,DC,215106,11296,6938.903225806452,364.38709677419354
2020-05-31,10,Delaware,State,DE,229386,8381,7399.548387096775,270.35483870967744
2020-05-31,12,Florida,State,FL,1396018,59664,45032.83870967742,1924.6451612903227
2020-05-31,13,Georgia,State,GA,1109472,48939,35789.41935483871,1578.6774193548388
2020-05-31,15,Hawaii,State,HI,19430,525,626.7741935483871,16.93548387096774
2020-05-31,19,Iowa,State,IA,441186,10769,14231.806451612903,347.38709677419354
2020-05-31,16,Idaho,State,ID,75057,2266,2421.1935483870966,73.09677419354838
2020-05-31,17,Illinois,State,IL,2822196,125228,91038.58064516129,4039.6129032258063
2020-05-31,18,Indiana,State,IN,857247,52744,27653.129032258064,1701.4193548387098
2020-05-31,20,Kansas,State,KS,241100,5676,7777.419354838709,183.09677419354838
2020-05-31,21,Kentucky,State,KY,234711,10848,7571.322580645161,349.93548387096774
2020-05-31,22,Louisiana,State,LA,1061231,75798,34233.25806451613,2445.0967741935483
2020-05-31,25,Massachusetts,State,MA,2582585,170827,83309.19354838709,5510.548387096775
2020-05-31,24,Maryland,State,MD,1190664,59244,38408.51612903226,1911.0967741935483
2020-05-31,23,Maine,State,ME,52158,2180,1682.516129032258,70.3225806451613
2020-05-31,26,Michigan,State,MI,1558908,148969,50287.354838709674,4805.451612903225
2020-05-31,27,Minnesota,State,MN,469404,21878,15142.064516129032,705.741935483871
2020-05-31,29,Missouri,State,MO,334500,17904,10790.322580645161,577.5483870967741
2020-05-31,28,Mississippi,State,MS,344072,15804,11099.09677419355,509.80645161290323
2020-05-31,30,Montana,State,MT,14576,502,470.19354838709677,16.193548387096776
2020-05-31,37,North Carolina,State,NC,573602,20390,18503.290322580644,657.741935483871
2020-05-31,38,North Dakota,State,ND,57787,1330,1864.0967741935483,42.903225806451616
2020-05-31,31,Nebraska,State,NE,305559,3841,9856.741935483871,123.90322580645162
